energy,cross_section,asymmetry_parameter
25.0,2.406,0.09444
30.0,6.894,1.972
35.0,3.755,1.888
40.0,2.199,1.664
40.81,2.032,1.618
45.0,1.399,1.354
50.0,0.9638,1.005
55.0,0.713,0.6608
60.0,0.5614,0.3595
65.0,0.4662,0.1281
70.0,0.4045,-0.02376
75.0,0.363,-0.1027
80.0,0.3338,-0.1245
85.0,0.3122,-0.1066
90.0,0.2954,-0.06321
95.0,0.2818,-0.004716
100.0,0.2702,0.06205
105.0,0.2602,0.1327
110.0,0.2512,0.2042
115.0,0.2431,0.2748
120.0,0.2356,0.343
125.0,0.2286,0.4081
130.0,0.222,0.4697
132.3,0.219,0.4968
135.0,0.2157,0.5275
140.0,0.2097,0.5817
145.0,0.204,0.6323
150.0,0.1986,0.6797
151.4,0.1971,0.6925
155.0,0.1934,0.7242
160.0,0.1883,0.7659
165.0,0.1835,0.8052
170.0,0.1789,0.8422
175.0,0.1744,0.8772
180.0,0.1701,0.9102
185.0,0.1659,0.9413
190.0,0.1619,0.9708
195.0,0.158,0.9986
200.0,0.1543,1.025
205.0,0.1507,1.05
210.0,0.1472,1.073
215.0,0.1439,1.096
220.0,0.1406,1.117
225.0,0.1375,1.137
230.0,0.1345,1.156
235.0,0.1316,1.1740000000000002
240.0,0.1287,1.192
245.0,0.126,1.208
250.0,0.1234,1.224
255.0,0.1208,1.24
260.0,0.1183,1.254
265.0,0.1159,1.268
270.0,0.1136,1.2819999999999998
275.0,0.1113,1.295
280.0,0.1091,1.307
285.0,0.107,1.319
290.0,0.1049,1.33
295.0,0.1029,1.341
300.0,0.101,1.352
305.0,0.09911,1.362
310.0,0.09727,1.372
315.0,0.09549,1.381
320.0,0.09375,1.39
340.0,0.08728,1.423
360.0,0.08147,1.452
380.0,0.07622999999999999,1.4780000000000002
400.0,0.07148,1.5
420.0,0.06717999999999999,1.52
440.0,0.06326,1.538
460.0,0.05968,1.554
480.0,0.0564,1.569
500.0,0.05338,1.582
520.0,0.0506,1.5930000000000002
540.0,0.04804,1.604
560.0,0.04566,1.614
580.0,0.043460000000000006,1.6230000000000002
600.0,0.04141,1.631
620.0,0.0395,1.638
640.0,0.03773,1.645
660.0,0.03607,1.651
680.0,0.03451,1.656
700.0,0.03305,1.662
720.0,0.03168,1.666
740.0,0.0304,1.671
760.0,0.02918,1.675
780.0,0.02804,1.6780000000000002
800.0,0.02697,1.682
850.0,0.02452,1.689
900.0,0.02239,1.695
950.0,0.02051,1.7
1000.0,0.01886,1.703
1041.0,0.01764,1.706
1050.0,0.01739,1.706
1100.0,0.01608,1.7080000000000002
1150.0,0.0149,1.71
1200.0,0.01385,1.711
1250.0,0.0129,1.711
1253.6,0.01283,1.711
1300.0,0.01204,1.712
1350.0,0.01126,1.711
1400.0,0.01055,1.711
1450.0,0.0099,1.71
1486.6,0.009459,1.709
1500.0,0.009305,1.709
